hdl:1902.1/00555	development of achievement motivation
hdl:1902.1/14822	crossref
hdl:1902.1/14985	party composition
hdl:1902.1/15218	gender equality
hdl:1902.1/15218	judicial appointments
hdl:1902.1/15218	judicial appointments commissions
hdl:1902.1/15218	judicial selection
hdl:1902.1/15713	hiv infection
hdl:1902.1/15713	hiv/aids among latinos
hdl:1902.1/15713	mother to child hiv transmission
hdl:1902.1/15713	hiv among persons over 50
hdl:1902.1/15713	hiv
hdl:1902.1/15713	aids
hdl:1902.1/15713	hiv/aids
hdl:1902.1/15713	hiv prevalence
hdl:1902.1/15713	aids prevalence
hdl:1902.1/15713	hiv/aids prevalence
hdl:1902.1/15713	centers for disease control
hdl:1902.1/15713	aids death
hdl:1902.1/15713	hiv/aids death
hdl:1902.1/15713	aids infection
hdl:1902.1/15713	hiv/aids infection
hdl:1902.1/15713	hiv among african americans
hdl:1902.1/15713	hiv among american indians
hdl:1902.1/15713	hiv among asians
hdl:1902.1/15713	hiv among youth
hdl:1902.1/15713	men who have sex with men
hdl:1902.1/16235	language effects
hdl:1902.1/16316	ideologies
hdl:1902.1/16316	religion
hdl:1902.1/16316	law enforcement/first responder
hdl:1902.1/16398	oil
hdl:1902.1/16398	allanblackia
hdl:1902.1/16398	domestication
hdl:1902.1/16398	in situ grafting
hdl:1902.1/16398	vegetative propagation
hdl:1902.1/16767	psychiatric epidemiology
hdl:1902.1/16767	general population
hdl:1902.1/16767	time trends
hdl:1902.1/16767	mortality risk
hdl:1902.1/16767	natural history of illness
hdl:1902.1/16848	cdc
hdl:1902.1/16848	national violent death reporting system (nvdrs)
hdl:1902.1/16848	nvdrs
hdl:1902.1/16848	violence
hdl:1902.1/16848	violent death
hdl:1902.1/16848	centers for disease control
hdl:1902.1/16848	death
hdl:1902.1/16848	injury
hdl:1902.1/16848	suicide
hdl:1902.1/16848	homicide
hdl:1902.1/16848	child abuse
hdl:1902.1/16848	child maltreatment
hdl:1902.1/16848	depression
hdl:1902.1/16848	intimate partner violence
hdl:1902.1/16848	domestic abuse
hdl:1902.1/16848	violence
hdl:1902.1/16848	accident
hdl:1902.1/16848	car accidents
hdl:1902.1/16848	firearms
hdl:1902.1/16848	drug abuse
hdl:1902.1/16848	domestic violence
hdl:1902.1/16848	early death
hdl:1902.1/16848	unexpected death
hdl:1902.1/16848	intimate partner homicides
hdl:1902.1/16929	job injury
hdl:1902.1/16929	employment injury
hdl:1902.1/16929	employment injuries
hdl:1902.1/16929	occupational fatalities
hdl:1902.1/16929	occupational fatality
hdl:1902.1/16929	employment fatality
hdl:1902.1/16929	employment fatalities
hdl:1902.1/16929	job fatality
hdl:1902.1/16929	job fatalities
hdl:1902.1/16929	employment
hdl:1902.1/16929	unemployment
hdl:1902.1/16929	job statistics
hdl:1902.1/16929	employment safety
hdl:1902.1/16929	united states department of labor
hdl:1902.1/16929	bureau of labor statistics
hdl:1902.1/16929	layoff statistics
hdl:1902.1/16929	jobs data
hdl:1902.1/16929	jobs statistics
hdl:1902.1/16929	job safety
hdl:1902.1/16929	occupational safety
hdl:1902.1/16929	inflation
hdl:1902.1/16929	jobs safety
hdl:1902.1/16929	occupational health
hdl:1902.1/16929	occupational injury
hdl:1902.1/16929	occupational injuries
hdl:1902.1/16929	job injuries
hdl:1902.1/16929	labor statistics
hdl:1902.1/17045	gender
hdl:1902.1/17045	chronic poverty
hdl:1902.1/17045	long-term impact
hdl:1902.1/17045	microfinance
hdl:1902.1/17045	micronutrient
hdl:1902.1/17090	undernutrition
hdl:1902.1/17090	micronutrient
hdl:1902.1/17289	texas
hdl:1902.1/17289	liability insurance claims
hdl:1902.1/17289	torts
hdl:1902.1/17577	gulf
hdl:1902.1/17702	religion
hdl:1902.1/17702	terrorist groups/organizations
hdl:1902.1/17702	ideologies
hdl:1902.1/17739	growth
hdl:1902.1/17739	nursery
hdl:1902.1/17739	cutting
hdl:1902.1/17739	dacryodes edulis
hdl:1902.1/18224	social accounting matrix
hdl:1902.1/18224	savings
hdl:1902.1/18224	firms
hdl:1902.1/18224	foreign trade
hdl:1902.1/18224	domestic institutions
hdl:1902.1/18224	agricultural growth
hdl:1902.1/18224	poverty reduction
hdl:1902.1/18224	growth dynamics
hdl:1902.1/18224	public investment
hdl:1902.1/18224	commodities
hdl:1902.1/18468	collective decision making
hdl:1902.1/18468	small group &amp
hdl:1902.1/18468	organizational diversity
hdl:1902.1/18468	structural design
hdl:1902.1/18963	drainage basins
hdl:1902.1/01980	national elections
hdl:1902.1/01980	congressional districts
hdl:1902.1/01980	election districts
hdl:1902.1/01980	election returns
hdl:1902.1/01980	elections
hdl:1902.1/01980	local elections
hdl:1902.1/01980	redistrcting
hdl:1902.1/01980	state elections
hdl:1902.1/01980	voter registration
hdl:1902.1/01980	voter turnout
hdl:1902.1/01980	voting behavior
hdl:1902.1/01980	voting precints
hdl:1902.1/02006	voter registration
hdl:1902.1/02006	voter turnout
hdl:1902.1/02006	voting behavior
hdl:1902.1/02006	voting precints
hdl:1902.1/02006	state elections
hdl:1902.1/02006	redistrcting
hdl:1902.1/02006	national elections
hdl:1902.1/02006	local elections
hdl:1902.1/02006	elections
hdl:1902.1/02006	election returns
hdl:1902.1/02006	election districts
hdl:1902.1/02006	congressional districts
hdl:1902.1/10971	property repairs
hdl:1902.1/10971	automobile ownership
hdl:1902.1/10971	home ownership
hdl:1902.1/10971	womens movement
hdl:1902.1/10971	consumer purchases
hdl:1902.1/10971	durable goods
hdl:1902.1/10971	radios
hdl:1902.1/10971	public opinion
hdl:1902.1/10971	furniture
hdl:1902.1/10971	education
hdl:1902.1/10971	consumer behavior
hdl:1902.1/10971	attitudes
hdl:1902.1/10971	perceptions
hdl:1902.1/10971	television viewing
hdl:1902.1/10971	banking
hdl:1902.1/10971	personal income
hdl:1902.1/10971	products
hdl:1902.1/10971	restaurants
hdl:1902.1/10971	political ideologies
hdl:1902.1/10971	occupation
hdl:1902.1/10971	health insurance
hdl:1902.1/10971	marketing
hdl:1902.1/10971	media use
hdl:1902.1/10971	biographical data
hdl:1902.1/10971	trust
hdl:1902.1/10971	medical care
hdl:1902.1/10971	psychographics
hdl:1902.1/10971	leisure
hdl:1902.1/10971	news media
hdl:1902.1/10971	research
hdl:1902.1/10971	social attitudes
hdl:1902.1/10971	social values
hdl:1902.1/10971	consumer attitudes
hdl:1902.1/10971	food
hdl:1902.1/10971	newspapers
hdl:1902.1/10971	shopping
hdl:1902.1/13068	household income
hdl:1902.1/13068	household structure
hdl:1902.1/13068	transportation
hdl:1902.1/13068	geographical mobility
hdl:1902.1/13068	housing heat source
hdl:1902.1/13068	housing stock
hdl:1902.1/13068	housing units
hdl:1902.1/13068	disability
hdl:1902.1/13068	sex ratio
hdl:1902.1/13068	demographics
hdl:1902.1/13068	ethnicity
hdl:1902.1/13068	race
hdl:1902.1/13068	gender
hdl:1902.1/13068	sex
hdl:1902.1/13068	poverty
hdl:1902.1/13068	household
hdl:1902.1/13068	marital status
hdl:1902.1/13068	divorce
hdl:1902.1/13068	united states
hdl:1902.1/13068	puerto rico
hdl:1902.1/13068	commuting
hdl:1902.1/13068	work force
hdl:1902.1/13068	fertility
hdl:1902.1/13068	ancestry
hdl:1902.1/13068	family background
hdl:1902.1/13068	foreign born
hdl:1902.1/13068	citizenship status
hdl:1902.1/13068	veteran status
hdl:1902.1/13068	age
hdl:1902.1/13068	education
hdl:1902.1/13068	school characteristics
hdl:1902.1/13068	occupation
hdl:1902.1/13068	work
hdl:1902.1/13068	income
hdl:1902.1/13400	medicaid
hdl:1902.1/13400	hospital length of stay
hdl:1902.1/13400	household crowding
hdl:1902.1/13400	infant health care
hdl:1902.1/13400	breastfeeding
hdl:1902.1/13400	well baby care
hdl:1902.1/13400	uninsured
hdl:1902.1/13400	mental health
hdl:1902.1/13400	infant morbidity
hdl:1902.1/13400	maternal morbidity
hdl:1902.1/13400	low birth weight
hdl:1902.1/13400	multivitamin use
hdl:1902.1/13400	obesity
hdl:1902.1/13400	oral health
hdl:1902.1/13400	dental health
hdl:1902.1/13400	pregnancy history
hdl:1902.1/13400	pregnancy intention
hdl:1902.1/13400	unintended pregnancy
hdl:1902.1/13400	pregnancy recognition
hdl:1902.1/13400	prenatal care
hdl:1902.1/13400	ses
hdl:1902.1/13400	socioeconomic status
hdl:1902.1/13400	public assistance
hdl:1902.1/13400	smoke exposure
hdl:1902.1/13400	tobacco use
hdl:1902.1/13400	smoking
hdl:1902.1/13400	sleep behaviors
hdl:1902.1/13400	wic
hdl:1902.1/13400	infants and children
hdl:1902.1/13400	special supplemental nutrition program for women
hdl:1902.1/13400	contraceptives
hdl:1902.1/13400	contraception
hdl:1902.1/13400	alcohol use
hdl:1902.1/13400	physical abuse
hdl:1902.1/13400	childbirth
hdl:1902.1/13400	pregnancy
hdl:1902.1/13400	state
hdl:1902.1/13400	national
hdl:1902.1/13400	pregnancy risk assessment monitoring system
hdl:1902.1/13400	prams
hdl:1902.1/13400	centers for disease control and prevention
hdl:1902.1/13400	cdc
hdl:1902.1/13400	hiv test
hdl:1902.1/13400	delivery payment method
hdl:1902.1/14328	exponential distribution
hdl:1902.1/14328	firm size distribution
hdl:1902.1/14328	survival
hdl:1902.1/14328	age distribution
hdl:1902.1/14454	latin america
hdl:1902.1/14454	presidents
hdl:1902.1/14535	party composition
hdl:1902.1/14779	party composition
hdl:1902.1/14823	consumer prices indexes
hdl:1902.1/14823	cost and standard of living
hdl:1902.1/14823	prices
hdl:1902.1/15390	party composition
hdl:1902.1/15426	party composition
hdl:1902.1/15552	website design
hdl:1902.1/15552	law school rankings
hdl:1902.1/15552	home page analysis
hdl:1902.1/15552	online communications
hdl:1902.1/15552	marketing
hdl:1902.1/15589	immigration
hdl:1902.1/15589	immigration policy
hdl:1902.1/15589	measurement
hdl:1902.1/15589	skill bias
hdl:1902.1/15633	interpretation
hdl:1902.1/15633	nonproportional hazards
hdl:1902.1/15633	graphs
hdl:1902.1/15840	inflation forecasts
hdl:1902.1/15840	forecast comparison
hdl:1902.1/15840	econometric models
hdl:1902.1/15840	forecast targeting central bank
hdl:1902.1/15840	monetary policy
hdl:1902.1/15921	un security council
hdl:1902.1/15921	foreign aid
hdl:1902.1/16236	multivariate polarization measurement
hdl:1902.1/16317	state legislatures
hdl:1902.1/16317	redistricting
hdl:1902.1/16317	fundraising
hdl:1902.1/17091	parcel
hdl:1902.1/17091	plot
hdl:1902.1/17091	hillside
hdl:1902.1/17091	rural development
hdl:1902.1/17091	farm household
hdl:1902.1/17127	policy diffusion
hdl:1902.1/17127	policy learning
hdl:1902.1/17127	policy emulation
hdl:1902.1/17127	state bureaucracy
hdl:1902.1/17127	policing innovation
hdl:1902.1/17172	landholders
hdl:1902.1/17172	watershed services
hdl:1902.1/17172	land-management contract
hdl:1902.1/17172	conjoint analysis
hdl:1902.1/17172	rewards for environmental services
hdl:1902.1/17172	attributes
hdl:1902.1/17172	presa
hdl:1902.1/18883	judiciaries
hdl:1902.1/18883	democracy
hdl:1902.1/20196	structure
hdl:1902.1/20196	school
hdl:1902.1/01981	voting precints
hdl:1902.1/01981	election districts
hdl:1902.1/01981	election returns
hdl:1902.1/01981	elections
hdl:1902.1/01981	local elections
hdl:1902.1/01981	national elections
hdl:1902.1/01981	congressional districts
hdl:1902.1/01981	redistrcting
hdl:1902.1/01981	state elections
hdl:1902.1/01981	voter registration
hdl:1902.1/01981	voter turnout
hdl:1902.1/01981	voting behavior
hdl:1902.1/02007	redistrcting
hdl:1902.1/02007	local elections
hdl:1902.1/02007	elections
hdl:1902.1/02007	election returns
hdl:1902.1/02007	congressional districts
hdl:1902.1/02007	election districts
hdl:1902.1/02007	national elections
hdl:1902.1/02007	voting precints
hdl:1902.1/02007	voting behavior
hdl:1902.1/02007	voter turnout
hdl:1902.1/02007	voter registration
hdl:1902.1/02007	state elections
hdl:1902.1/10477	party systems
hdl:1902.1/10477	electoral institutions
hdl:1902.1/10477	social heterogeneity
hdl:1902.1/10477	duverger
hdl:1902.1/10558	pcse
hdl:1902.1/10558	replication
hdl:1902.1/10558	institutions
hdl:1902.1/10558	tscs
hdl:1902.1/10558	turnout
hdl:1902.1/10684	technical change
hdl:1902.1/10684	substitution.
hdl:1902.1/10684	rate and bias
hdl:1902.1/10972	automobile ownership
hdl:1902.1/10972	home ownership
hdl:1902.1/10972	womens movement
hdl:1902.1/10972	consumer purchases
hdl:1902.1/10972	durable goods
hdl:1902.1/10972	radios
hdl:1902.1/10972	public opinion
hdl:1902.1/10972	furniture
hdl:1902.1/10972	education
hdl:1902.1/10972	consumer behavior
hdl:1902.1/10972	attitudes
hdl:1902.1/10972	perceptions
hdl:1902.1/10972	television viewing
hdl:1902.1/10972	banking
hdl:1902.1/10972	personal income
hdl:1902.1/10972	products
hdl:1902.1/10972	restaurants
hdl:1902.1/10972	political ideologies
hdl:1902.1/10972	occupation
hdl:1902.1/10972	health insurance
hdl:1902.1/10972	marketing
hdl:1902.1/10972	media use
hdl:1902.1/10972	biographical data
hdl:1902.1/10972	trust
hdl:1902.1/10972	medical care
hdl:1902.1/10972	psychographics
hdl:1902.1/10972	leisure
hdl:1902.1/10972	news media
hdl:1902.1/10972	research
hdl:1902.1/10972	social attitudes
hdl:1902.1/10972	social values
hdl:1902.1/10972	consumer attitudes
hdl:1902.1/10972	food
hdl:1902.1/10972	newspapers
hdl:1902.1/10972	shopping
hdl:1902.1/10972	property repairs
hdl:1902.1/11944	confidence
hdl:1902.1/11944	leadership
hdl:1902.1/11944	nli
hdl:1902.1/12060	hungary
hdl:1902.1/12060	mollusca
hdl:1902.1/12510	mental health
hdl:1902.1/12510	tooth decay
hdl:1902.1/12510	health insurance
hdl:1902.1/12510	uninsured
hdl:1902.1/12510	usual source of care
hdl:1902.1/12510	mortality
hdl:1902.1/12510	national center for health statistics
hdl:1902.1/12510	cdc
hdl:1902.1/12510	centers for disease control and prevention
hdl:1902.1/12510	activities of daily living
hdl:1902.1/12510	physical functioning
hdl:1902.1/12510	health status
hdl:1902.1/12510	functional status
hdl:1902.1/12510	functional limitations
hdl:1902.1/12510	infant mortality
hdl:1902.1/12510	infant mortality by cause
hdl:1902.1/12510	cause of death
hdl:1902.1/12510	life expectancy
hdl:1902.1/12510	low birth weight
hdl:1902.1/12510	preterm birth
hdl:1902.1/12510	pregnancy
hdl:1902.1/12510	overweight
hdl:1902.1/12510	obesity
hdl:1902.1/12510	physical activity
hdl:1902.1/12510	smoking
hdl:1902.1/12510	risk factors
hdl:1902.1/12510	health care use
hdl:1902.1/12510	access to care
hdl:1902.1/12510	flu vaccines
hdl:1902.1/12510	hypertension
hdl:1902.1/12510	cholesterol
hdl:1902.1/12510	self reported health status
hdl:1902.1/12510	emergency department visits
hdl:1902.1/12510	hospital discharge
hdl:1902.1/12510	hospital procedures
hdl:1902.1/12510	health care expenditures
hdl:1902.1/12510	prescription medicine
hdl:1902.1/12510	prescription drugs
hdl:1902.1/12510	allergies
hdl:1902.1/12510	asthma
hdl:1902.1/12510	adhd
hdl:1902.1/12510	attention deficit hyperactivity disorder
hdl:1902.1/12510	learning disabilities
hdl:1902.1/12510	chronic conditions
hdl:1902.1/12510	diabetes
hdl:1902.1/12547	television
hdl:1902.1/12547	child behavior
hdl:1902.1/12547	childproof
hdl:1902.1/12547	child development
hdl:1902.1/12547	medical care
hdl:1902.1/12547	mental health
hdl:1902.1/12547	educational service
hdl:1902.1/12547	insurance coverage
hdl:1902.1/12547	medicaid
hdl:1902.1/12547	medicare
hdl:1902.1/12547	medi-gap insurance
hdl:1902.1/12547	military health care
hdl:1902.1/12547	champus
hdl:1902.1/12547	champ-va
hdl:1902.1/12547	tricare
hdl:1902.1/12547	private health insurance
hdl:1902.1/12547	indian health service
hdl:1902.1/12547	wic
hdl:1902.1/12547	family income
hdl:1902.1/12547	title v
hdl:1902.1/12547	title 5
hdl:1902.1/12547	title five
hdl:1902.1/12547	child
hdl:1902.1/12547	children
hdl:1902.1/12547	centers for disease control and prevention
hdl:1902.1/12547	cdc
hdl:1902.1/12547	slaits
hdl:1902.1/12547	hispanic
hdl:1902.1/12547	latino
hdl:1902.1/12547	african american
hdl:1902.1/12547	health care
hdl:1902.1/12547	healthcare
hdl:1902.1/12547	health insurance
hdl:1902.1/12547	reading
hdl:1902.1/12547	doctor
hdl:1902.1/12547	shot
hdl:1902.1/12547	immunization
hdl:1902.1/12547	vaccination
hdl:1902.1/12547	vaccine safety
hdl:1902.1/12547	check-up
hdl:1902.1/12547	nurse practitioner
hdl:1902.1/12547	physician's assistant
hdl:1902.1/12547	pediatrician
hdl:1902.1/12547	pediatric nurse practitioner
hdl:1902.1/12547	urgent care
hdl:1902.1/12547	walk-in clinic
hdl:1902.1/12547	community health center
hdl:1902.1/12547	public clinic
hdl:1902.1/12547	hospital clinic
hdl:1902.1/12547	emergency room
hdl:1902.1/12547	well-child care
hdl:1902.1/12547	urban
hdl:1902.1/12547	suburban
hdl:1902.1/12547	rural
hdl:1902.1/12547	child health
hdl:1902.1/12547	breastfeeding
hdl:1902.1/12547	feeding
hdl:1902.1/12547	sleeping position
hdl:1902.1/12547	night waking
hdl:1902.1/12547	burn prevention
hdl:1902.1/12547	car seat
hdl:1902.1/12547	childcare
hdl:1902.1/12547	guidance
hdl:1902.1/12547	discipline
hdl:1902.1/12547	toilet training
hdl:1902.1/12547	poison
hdl:1902.1/12547	bedtime routine
hdl:1902.1/12547	violence
hdl:1902.1/12547	community
hdl:1902.1/12547	parent's physical health
hdl:1902.1/12547	smoking
hdl:1902.1/12547	tobacco use
hdl:1902.1/12547	alcohol
hdl:1902.1/12547	emotional support
hdl:1902.1/12547	parenting
hdl:1902.1/12547	childbirth class
hdl:1902.1/12547	specialist
hdl:1902.1/12547	prematurity
hdl:1902.1/13320	causal inference
hdl:1902.1/13401	dental sealants
hdl:1902.1/13401	tooth decay
hdl:1902.1/13401	dental health
hdl:1902.1/13401	dental visits
hdl:1902.1/13401	teeth cleaning
hdl:1902.1/13401	caries
hdl:1902.1/13401	oral health
hdl:1902.1/13401	surveillance
hdl:1902.1/13401	national
hdl:1902.1/13401	state
hdl:1902.1/13401	centers for disease control and prevention
hdl:1902.1/13401	cdc
hdl:1902.1/13401	cavities
hdl:1902.1/13401	fluoridation
hdl:1902.1/14248	monopsony
hdl:1902.1/14248	reder competition
hdl:1902.1/14248	hiring standards
hdl:1902.1/14248	wage posting
hdl:1902.1/14248	discrimination
hdl:1902.1/14248	selection wages
hdl:1902.1/14248	efficiency wages
hdl:1902.1/14248	employment criteria
hdl:1902.1/14536	party composition
hdl:1902.1/14617	ethnic conflict infighting global civil
hdl:1902.1/14824	roll-call voting
hdl:1902.1/14824	representation
hdl:1902.1/14824	ideological heterogeneity
hdl:1902.1/14824	state ideology
hdl:1902.1/14824	u.s. senate
hdl:1902.1/14987	defendant's report
hdl:1902.1/15553	multiples
hdl:1902.1/15553	national center for health statistics
hdl:1902.1/15553	matched multiples
hdl:1902.1/15553	birth
hdl:1902.1/15553	multiple births
hdl:1902.1/15553	twin
hdl:1902.1/15553	twins
hdl:1902.1/15553	triplets
hdl:1902.1/15553	quadruplets
hdl:1902.1/15553	mutiple birth
hdl:1902.1/15634	nilai gizi ikan
hdl:1902.1/15922	simple-difference model
hdl:1902.1/15922	behavior change
hdl:1902.1/15922	subgroup analysis
hdl:1902.1/15922	hiv
hdl:1902.1/16651	vegetable consumption
hdl:1902.1/16651	public health preparedness
hdl:1902.1/16651	key health indicators
hdl:1902.1/16651	public health funding
hdl:1902.1/16651	state funding
hdl:1902.1/16651	cdc funding
hdl:1902.1/16651	hrsa funding
hdl:1902.1/16651	poverty per capita
hdl:1902.1/16651	physical activity
hdl:1902.1/16651	diabetes
hdl:1902.1/16651	hypertension
hdl:1902.1/16651	obesity
hdl:1902.1/16651	nursing shortages
hdl:1902.1/16651	mental health shortages
hdl:1902.1/16651	dental health
hdl:1902.1/16651	primary care
hdl:1902.1/16651	low birth weight
hdl:1902.1/16651	birth weight
hdl:1902.1/16651	infant mortality
hdl:1902.1/16651	pneumonia
hdl:1902.1/16651	pneumococcus
hdl:1902.1/16651	pneumococcal vaccination rates
hdl:1902.1/16651	immunization
hdl:1902.1/16651	vaccination
hdl:1902.1/16651	tuberculosis
hdl:1902.1/16651	smoking
hdl:1902.1/16651	tobacco
hdl:1902.1/16651	syphilis
hdl:1902.1/16651	west nile virus
hdl:1902.1/16651	chlamydia
hdl:1902.1/16651	sexually transmitted infections
hdl:1902.1/16651	sexually transmitted diseases
hdl:1902.1/16651	stis
hdl:1902.1/16651	stds
hdl:1902.1/16651	std
hdl:1902.1/16651	cancer
hdl:1902.1/16651	asthma
hdl:1902.1/16651	alzheimer's
hdl:1902.1/16651	hiv
hdl:1902.1/16651	aids
hdl:1902.1/16651	uninsured
hdl:1902.1/16651	insurance coverage
hdl:1902.1/16651	insurance
hdl:1902.1/16651	state data
hdl:1902.1/16651	trust for america's health
hdl:1902.1/16651	breastfeeding
hdl:1902.1/16651	physical inactivity
hdl:1902.1/16651	vegetable intake
hdl:1902.1/16732	condom use
hdl:1902.1/16732	hiv
hdl:1902.1/16732	youth
hdl:1902.1/16732	condoms
hdl:1902.1/17047	immigration
hdl:1902.1/17047	department of homeland security
hdl:1902.1/17047	office of citizenship and immigration services
hdl:1902.1/17047	asylum adjudication
hdl:1902.1/17092	agricultural patterns
hdl:1902.1/17092	food security
hdl:1902.1/17092	water security
hdl:1902.1/17335	bibliographic
hdl:1902.1/17461	geographic concentration
hdl:1902.1/17461	clustering
hdl:1902.1/17461	ethnic minorities
hdl:1902.1/17579	persian gulf
hdl:1902.1/17911	multiple price list
hdl:1902.1/17911	risk aversion
hdl:1902.1/17911	crra
hdl:1902.1/17911	expo-power
hdl:1902.1/17911	rank dependent utility
hdl:1902.1/17948	race
hdl:1902.1/17948	counter-judges
hdl:1902.1/17948	panel effects
hdl:1902.1/17948	courts of appeals
hdl:1902.1/17948	affirmative action
hdl:1902.1/17993	innovations agroforestières
hdl:1902.1/17993	organisations relais
hdl:1902.1/17993	diffusion
hdl:1902.1/17993	centre de ressources
hdl:1902.1/17993	viabilité
hdl:1902.1/20197	energy
hdl:1902.1/20197	structure
hdl:1902.1/01982	voting precints
hdl:1902.1/01982	voting behavior
hdl:1902.1/01982	voter turnout
hdl:1902.1/01982	voter registration
hdl:1902.1/01982	state elections
hdl:1902.1/01982	redistrcting
hdl:1902.1/01982	national elections
hdl:1902.1/01982	local elections
hdl:1902.1/01982	elections
hdl:1902.1/01982	election returns
hdl:1902.1/01982	election districts
hdl:1902.1/01982	congressional districts
hdl:1902.1/02008	national elections
hdl:1902.1/02008	congressional districts
hdl:1902.1/02008	election districts
hdl:1902.1/02008	election returns
hdl:1902.1/02008	redistrcting
hdl:1902.1/02008	state elections
hdl:1902.1/02008	voter registration
hdl:1902.1/02008	voter turnout
hdl:1902.1/02008	voting behavior
hdl:1902.1/02008	voting precints
hdl:1902.1/02008	elections
hdl:1902.1/02008	local elections
hdl:1902.1/10234	europe
hdl:1902.1/10234	democracy
hdl:1902.1/10234	germany
hdl:1902.1/10234	contemporary politics
hdl:1902.1/10234	political science
hdl:1902.1/10234	government
hdl:1902.1/10234	history
hdl:1902.1/10234	comparative
hdl:1902.1/10234	nationalism
hdl:1902.1/10234	political process
hdl:1902.1/10559	ethnic heterogeneity
hdl:1902.1/10559	party system
hdl:1902.1/10559	district magnitude
hdl:1902.1/10603	democracy
hdl:1902.1/10603	civic culture
hdl:1902.1/10603	social capital
hdl:1902.1/10603	environment
hdl:1902.1/10603	politics
hdl:1902.1/10603	integration
hdl:1902.1/10603	gender discrimination
hdl:1902.1/10603	gender
hdl:1902.1/10603	political institutions
hdl:1902.1/10603	civic participation
hdl:1902.1/10603	international trade
hdl:1902.1/10603	economics
hdl:1902.1/10973	automobile ownership
hdl:1902.1/10973	property repairs
hdl:1902.1/10973	shopping
hdl:1902.1/10973	newspapers
hdl:1902.1/10973	food
hdl:1902.1/10973	consumer attitudes
hdl:1902.1/10973	social values
hdl:1902.1/10973	social attitudes
hdl:1902.1/10973	research
hdl:1902.1/10973	news media
hdl:1902.1/10973	leisure
hdl:1902.1/10973	psychographics
hdl:1902.1/10973	medical care
hdl:1902.1/10973	trust
hdl:1902.1/10973	biographical data
hdl:1902.1/10973	media use
hdl:1902.1/10973	marketing
hdl:1902.1/10973	health insurance
hdl:1902.1/10973	occupation
hdl:1902.1/10973	political ideologies
hdl:1902.1/10973	restaurants
hdl:1902.1/10973	products
hdl:1902.1/10973	personal income
hdl:1902.1/10973	banking
hdl:1902.1/10973	television viewing
hdl:1902.1/10973	perceptions
hdl:1902.1/10973	attitudes
hdl:1902.1/10973	consumer behavior
hdl:1902.1/10973	education
hdl:1902.1/10973	furniture
hdl:1902.1/10973	public opinion
hdl:1902.1/10973	radios
hdl:1902.1/10973	durable goods
hdl:1902.1/10973	consumer purchases
hdl:1902.1/10973	womens movement
hdl:1902.1/10973	home ownership
hdl:1902.1/11620	san diego
hdl:1902.1/11620	california
hdl:1902.1/11620	block level
hdl:1902.1/11620	census
hdl:1902.1/11819	refugees
hdl:1902.1/11945	confidence
hdl:1902.1/11945	leadership
hdl:1902.1/11945	nli
hdl:1902.1/12098	gang juvenile "new jersey" homicides "drug offenses"
hdl:1902.1/12511	pertussis vaccine
hdl:1902.1/12511	tetanus toxoids vaccine
hdl:1902.1/12511	diphtheria vaccine
hdl:1902.1/12511	measles mumps rubella vaccine
hdl:1902.1/12511	mmr vaccine
hdl:1902.1/12511	vaccines
hdl:1902.1/12511	immunization
hdl:1902.1/12511	centers for disease control and prevention
hdl:1902.1/12511	cdc
hdl:1902.1/12511	national center for health statistics
hdl:1902.1/12511	influenza vaccine
hdl:1902.1/12511	hepatitis a vaccine
hdl:1902.1/12511	pneumococcal conjugate vaccine
hdl:1902.1/12511	varicella zoster vaccine
hdl:1902.1/12511	polio vaccine
hdl:1902.1/12511	hepatitis b vaccine
hdl:1902.1/12511	haemophilus influenzae type b vaccine
hdl:1902.1/12511	oral poliovirus vaccine
hdl:1902.1/14537	party composition
hdl:1902.1/14906	party composition
hdl:1902.1/16319	multi member districts
hdl:1902.1/16319	social networks
hdl:1902.1/16319	state legislatures
hdl:1902.1/17048	regulation
hdl:1902.1/17048	pharmaceuticals
hdl:1902.1/17048	fda
hdl:1902.1/17048	deadlines
hdl:1902.1/17048	bureaucracy
hdl:1902.1/17750	substrate
hdl:1902.1/17750	dacryodes crassiflora
hdl:1902.1/17750	germination
hdl:1902.1/17750	weeks
hdl:1902.1/17787	organic manure
hdl:1902.1/17787	late blight incidence
hdl:1902.1/17787	calliandra calothyrsus
hdl:1902.1/17787	solanum tuberosum
hdl:1902.1/17787	physical characteristics
hdl:1902.1/17787	yield components
hdl:1902.1/17831	disease
hdl:1902.1/17831	biological constraint
hdl:1902.1/17831	ricinodendron heudelotii
hdl:1902.1/17831	forest zone
hdl:1902.1/17994	profitability
hdl:1902.1/17994	profitability
hdl:1902.1/17994	coffee agroforest
hdl:1902.1/17994	vegetative propagation
hdl:1902.1/18641	economic approval
hdl:1902.1/18641	consumer sentiment
hdl:1902.1/18641	partisanship
hdl:1902.1/18722	presidential elections
hdl:1902.1/18759	relay-cropping
hdl:1902.1/18759	nerica
hdl:1902.1/18759	integrated crop management
hdl:1902.1/18759	biomass
hdl:1902.1/18885	territory
hdl:1902.1/18885	positive peace
hdl:1902.1/18885	international relations
hdl:1902.1/20161	environment
hdl:1902.1/20161	base maps
hdl:1902.1/20198	energy
hdl:1902.1/20198	structure
hdl:1902.1/22600	crop climate-suitability
hdl:1902.1/22600	vulnerability
hdl:1902.1/22600	food security
hdl:1902.1/22600	colombia
hdl:1902.1/22600	climate change
hdl:1902.1/01118	achievement motivation
